target,period
TIC381857817,0.7024238
TIC382266319,0.3442883
TIC382425148,0.3650911
TIC382631664,0.3324723
TIC383722507,0.533588
TIC383858742,0.3211244
TIC38399380,0.5680974
TIC38423705,0.5336538
TIC38589392,0.3777198
TIC38687360,0.5080177
TIC386956587,0.4392298
TIC38707340,0.5638978
TIC387463207,0.3799213
TIC387513120,0.3036332
TIC387513384,0.2974686
TIC388129029,0.2972816
TIC388179896,0.3098493
TIC388245308,0.3546867
TIC388705796,0.5162611
TIC388940613,0.4525991
TIC389658055,0.3283473
TIC389728831,0.260882
TIC389916225,0.550877
TIC390021728,0.3020324
TIC390632932,0.3737141
TIC391663438,0.1994027
TIC39174351,0.5737275
TIC391927558,0.5429778
TIC392536812,0.5909951
TIC392909786,0.2038337
TIC393491149,0.5543533
TIC393943031,0.4497978
TIC393978805,0.4217724
TIC394006752,0.4548849
TIC394452884,0.3026648
TIC394596952,0.2838156
TIC394699148,0.4124419
TIC396004353,0.1315314
TIC396339551,0.2515667
TIC396934949,0.3774342
TIC396953669,0.3327633
TIC396954096,0.3026573
TIC397184624,0.5930529
TIC398673007,0.5432684
TIC399577123,0.3119793
TIC399587190,0.5642709
TIC399788405,0.4304368
TIC40102236,0.3816918
TIC401925979,0.4801571
TIC401928563,0.3625976
TIC401946845,0.4907309
TIC402065927,0.6314729
TIC402107145,0.2923328
TIC402130407,0.2991373
TIC40219040,0.5247287
TIC402319281,0.309847
TIC402324760,0.3614124
TIC403136932,0.3028548
TIC404144841,0.4477342
TIC404460906,0.5866367
TIC404854539,0.3622144
TIC40534599,0.3567582
TIC405533713,0.2799592
TIC405543959,0.3935661
TIC405687343,0.5330735
TIC405764176,0.3701756
TIC406951407,0.3618184
TIC407147727,0.5996011
TIC408068720,0.5797644
TIC408256672,0.2548968
TIC408552008,0.5234448
TIC409469477,0.6805034
TIC409942986,0.559258
TIC410299018,0.3558795
TIC410392940,0.3628327
TIC411712609,0.2902786
TIC412063998,0.3265817
TIC412942849,0.1903048
TIC415783540,0.4337532
TIC416024040,0.6553237
TIC4164713,0.2747868
TIC416947584,0.5556918
TIC417052182,0.3134128
TIC417118871,0.2822315
TIC418257102,0.4188147
TIC418532689,0.3803666
TIC418998975,0.2769786
TIC419635446,0.3908187
TIC419994778,0.4306794
TIC420137341,0.3758511
TIC421110675,0.3188568
TIC422252417,0.4932207
TIC422327572,0.4095596
TIC422332463,0.423449
TIC422914426,0.5494178
TIC423358373,0.4282947
TIC423833748,0.4269438
TIC424723563,0.3697875
TIC425064757,0.2615397
TIC425864141,0.2183845
TIC428257299,0.6389826
TIC42827646,0.6780302
TIC428534573,0.3765313
TIC429021446,0.1943339
TIC4299830,0.5341187
TIC430530755,0.5181558
TIC431338625,0.6000513
TIC431633352,0.592456
TIC432761331,0.359619
TIC43398254,0.3016875
TIC434097226,0.4455874
TIC434106760,0.2806312
TIC434515577,0.3166313
TIC43533897,0.3133685
TIC436660156,0.4150278
TIC437230910,0.380517
TIC43846099,0.4234074
TIC43864479,0.5944452
TIC439458951,0.3111498
TIC440051305,0.3296757
TIC440459327,0.3022254
TIC440657189,0.2601454
TIC440666925,0.1463486
TIC441105436,0.3688966
TIC441128066,0.4407791
TIC441183795,0.6338895
TIC441613385,0.2082523
TIC441734144,0.3254052
TIC441764197,0.2728818
TIC441806350,0.5041297
TIC442567883,0.6258737
TIC443494351,0.5158002
TIC445067946,0.4084367
TIC445069009,0.559779
TIC445133704,0.3239555
TIC445715549,0.6409436
TIC445829772,0.205193
TIC445924091,0.4639754
TIC445932196,0.5654404
TIC446127290,0.3336468
TIC446175401,0.3641392
TIC44790502,0.6384866
TIC44797681,0.4009503
TIC448913059,0.3677722
TIC450637853,0.4971263
TIC452406965,0.255532
TIC452955107,0.3879922
TIC453095485,0.3082996
TIC453784977,0.4097216
TIC454190342,0.3326118
TIC454222105,0.6327929
TIC455064763,0.2957064
TIC455153566,0.5997514
TIC455206965,0.0962362
TIC456130400,0.3517059
TIC457172621,0.4518857
TIC458490358,0.380675
TIC459789367,0.6873525
TIC459809633,0.5094438
TIC459971813,0.376723
TIC461662516,0.3732551
TIC467167691,0.359403
TIC467187065,0.0641622
TIC468293391,0.3174147
TIC468343249,0.3716205
TIC470275219,0.2707743
TIC470710327,0.5523474
TIC47309500,0.3868075
TIC47352608,0.4434482
TIC47831368,0.3659521
TIC48063032,0.5862463
TIC48063034,0.5862504
TIC48184317,0.2379106
TIC48318875,0.3028388
TIC49175300,0.2641902
TIC49547177,0.6169876
TIC49735506,0.3300894
TIC49799894,0.2709015
TIC50273697,0.3320699
TIC52368472,0.3259718
TIC53479497,0.2712799
TIC53603189,0.4186371
TIC53842685,0.3738842
TIC55753802,0.4155664
TIC55753808,0.4155585
TIC55778901,0.3545554
TIC55896456,0.4647737
TIC56001210,0.1893725
TIC5674169,0.3182028
TIC57229962,0.4237741
TIC57297550,0.3822356
